Sıra No,İstasyon No,İstasyon Adı,Hizmet Şekli,Marka,Şarj Ağı İşletmecisi,Şarj İstasyonu İşletmecisi,Yeşil Şarj İstasyonu mu,Adres,Soket No,Soket Tipi,Soket Türü,Soket Gücü (kW),Latitude,Longitude
303.0,ŞRJ/15276,Genemek AC-DC,HALKA_ACIK,GEL DOL,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ, ,Emek Mahallesi Ordu Sokağı  No:6  Bucak Sancaktepe / İSTANBUL,SKT/40708,DC,DC_CCS,30.0,,
308.0,ŞRJ/17746,Stüdyo 24,HALKA_ACIK,GEL DOL,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ, ,Tahtakale Mahallesi Lilyum Sokağı  No:3  Stüdyo 24 Sitesi A Blok Avcılar / İSTANBUL,SKT/48648,AC,AC_TYPE2,22.0,,
308.0,ŞRJ/17746,Stüdyo 24,HALKA_ACIK,GEL DOL,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ, ,Tahtakale Mahallesi Lilyum Sokağı  No:3  Stüdyo 24 Sitesi A Blok Avcılar / İSTANBUL,SKT/48649,AC,AC_TYPE2,22.0,,
310.0,ŞRJ/17971,Roseland,HALKA_ACIK,GEL DOL,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ, ,Gürselpaşa Mahallesi 75469 Sokağı  No:1  Bucak Seyhan / ADANA,SKT/49447,AC,AC_TYPE2,11.0,,
310.0,ŞRJ/17971,Roseland,HALKA_ACIK,GEL DOL,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ, ,Gürselpaşa Mahallesi 75469 Sokağı  No:1  Bucak Seyhan / ADANA,SKT/49596,AC,AC_TYPE2,11.0,,
313.0,ŞRJ/18037,Bekaroğlu Temacity,HALKA_ACIK,GEL DOL,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ, ,Gürselpaşa Mahallesi 75421 Sokağı  No:32  Bucak Seyhan / ADANA,SKT/49675,AC,AC_TYPE2,8.0,,
313.0,ŞRJ/18037,Bekaroğlu Temacity,HALKA_ACIK,GEL DOL,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ, ,Gürselpaşa Mahallesi 75421 Sokağı  No:32  Bucak Seyhan / ADANA,SKT/49676,AC,AC_TYPE2,11.0,,
314.0,ŞRJ/18049,NVS Sitesi,HALKA_ACIK,GEL DOL,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ, ,Belediye Evleri Mahallesi 1-3 Sokağı  Bucak Çukurova / ADANA,SKT/49710,AC,AC_TYPE2,11.0,,
314.0,ŞRJ/18049,NVS Sitesi,HALKA_ACIK,GEL DOL,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ, ,Belediye Evleri Mahallesi 1-3 Sokağı  Bucak Çukurova / ADANA,SKT/49711,AC,AC_TYPE2,11.0,,
316.0,ŞRJ/18052,Kinetik Ayınlatma,HALKA_ACIK,GEL DOL,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ, ,Gürselpaşa Mahallesi 75545 Sokağı  No:14  Bucak Seyhan / ADANA,SKT/49716,AC,AC_TYPE2,10.0,,
328.0,ŞRJ/8292,Ömür İstanbul Otoparkı 1,HALKA_ACIK,GEL DOL,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ, ,Turgut Reis Mahallesi 418. Sokağı  No:No:1 (A1-A2 Blok) Ortak Alan  Merkez Esenler / İSTANBUL,SKT/19007,AC,AC_TYPE2,22.0,,
328.0,ŞRJ/8292,Ömür İstanbul Otoparkı 1,HALKA_ACIK,GEL DOL,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ, ,Turgut Reis Mahallesi 418. Sokağı  No:No:1 (A1-A2 Blok) Ortak Alan  Merkez Esenler / İSTANBUL,SKT/19008,AC,AC_TYPE2,22.0,,
329.0,ŞRJ/8293,Ömür İstanbul Otoparkı 2,HALKA_ACIK,GEL DOL,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ, ,Turgut Reis Mahallesi 418. Sokağı  No:1 (B1-B2 Blok) Ortak Alan  Merkez Esenler / İSTANBUL,SKT/19009,AC,AC_TYPE2,22.0,,
329.0,ŞRJ/8293,Ömür İstanbul Otoparkı 2,HALKA_ACIK,GEL DOL,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ, ,Turgut Reis Mahallesi 418. Sokağı  No:1 (B1-B2 Blok) Ortak Alan  Merkez Esenler / İSTANBUL,SKT/19010,AC,AC_TYPE2,22.0,,
338.0,ŞRJ/17745,Emlak Konutları 2,HALKA_ACIK,GEL DOL,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ, ,Havaalanı Mahallesi Gönlüm Sokağı  No:47  Esenler Emlak Konutları 2.etap Esenler / İSTANBUL,SKT/48639,AC,AC_TYPE2,22.0,,
338.0,ŞRJ/17745,Emlak Konutları 2,HALKA_ACIK,GEL DOL,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ, ,Havaalanı Mahallesi Gönlüm Sokağı  No:47  Esenler Emlak Konutları 2.etap Esenler / İSTANBUL,SKT/48640,AC,AC_TYPE2,22.0,,
338.0,ŞRJ/17745,Emlak Konutları 2,HALKA_ACIK,GEL DOL,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ, ,Havaalanı Mahallesi Gönlüm Sokağı  No:47  Esenler Emlak Konutları 2.etap Esenler / İSTANBUL,SKT/48641,AC,AC_TYPE2,22.0,,
338.0,ŞRJ/17745,Emlak Konutları 2,HALKA_ACIK,GEL DOL,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ, ,Havaalanı Mahallesi Gönlüm Sokağı  No:47  Esenler Emlak Konutları 2.etap Esenler / İSTANBUL,SKT/48642,AC,AC_TYPE2,22.0,,
338.0,ŞRJ/17745,Emlak Konutları 2,HALKA_ACIK,GEL DOL,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ, ,Havaalanı Mahallesi Gönlüm Sokağı  No:47  Esenler Emlak Konutları 2.etap Esenler / İSTANBUL,SKT/48643,AC,AC_TYPE2,22.0,,
338.0,ŞRJ/17745,Emlak Konutları 2,HALKA_ACIK,GEL DOL,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ, ,Havaalanı Mahallesi Gönlüm Sokağı  No:47  Esenler Emlak Konutları 2.etap Esenler / İSTANBUL,SKT/48644,AC,AC_TYPE2,22.0,,
338.0,ŞRJ/17745,Emlak Konutları 2,HALKA_ACIK,GEL DOL,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ, ,Havaalanı Mahallesi Gönlüm Sokağı  No:47  Esenler Emlak Konutları 2.etap Esenler / İSTANBUL,SKT/48645,AC,AC_TYPE2,22.0,,
338.0,ŞRJ/17745,Emlak Konutları 2,HALKA_ACIK,GEL DOL,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ, ,Havaalanı Mahallesi Gönlüm Sokağı  No:47  Esenler Emlak Konutları 2.etap Esenler / İSTANBUL,SKT/48646,AC,AC_TYPE2,22.0,,
338.0,ŞRJ/17745,Emlak Konutları 2,HALKA_ACIK,GEL DOL,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ, ,Havaalanı Mahallesi Gönlüm Sokağı  No:47  Esenler Emlak Konutları 2.etap Esenler / İSTANBUL,SKT/48647,AC,AC_TYPE2,22.0,,
338.0,ŞRJ/17745,Emlak Konutları 2,HALKA_ACIK,GEL DOL,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ,ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ, ,Havaalanı Mahallesi Gönlüm Sokağı  No:47  Esenler Emlak Konutları 2.etap Esenler / İSTANBUL,SKT/54913,DC,DC_CCS,60.0,,
354.0,ŞRJ/9878,THE GREEN OASİS OTEL,HALKA_ACIK,fixcharge,BEYTTÜRK ENERJİ ÜRETİM VE TİCARET ANONİM ŞİRKETİ,BEYTTÜRK ENERJİ ÜRETİM VE TİCARET ANONİM ŞİRKETİ, ,Merkez Mahallesi Gölet Sokağı  No:1 Merkez / YALOVA,SKT/23670,AC,AC_TYPE2,22.0,,
354.0,ŞRJ/9878,THE GREEN OASİS OTEL,HALKA_ACIK,fixcharge,BEYTTÜRK ENERJİ ÜRETİM VE TİCARET ANONİM ŞİRKETİ,BEYTTÜRK ENERJİ ÜRETİM VE TİCARET ANONİM ŞİRKETİ, ,Merkez Mahallesi Gölet Sokağı  No:1 Merkez / YALOVA,SKT/23671,AC,AC_TYPE2,22.0,,
359.0,ŞRJ/10998,MAXWELL OTEL,HALKA_ACIK,fixcharge,BEYTTÜRK ENERJİ ÜRETİM VE TİCARET ANONİM ŞİRKETİ,BEYTTÜRK ENERJİ ÜRETİM VE TİCARET ANONİM ŞİRKETİ, ,Akköy Köyü Mahallesi Ayrım Sokağı  No:5/1  Akköy Köyü Termal / YALOVA,SKT/27037,AC,AC_TYPE2,22.0,,
359.0,ŞRJ/10998,MAXWELL OTEL,HALKA_ACIK,fixcharge,BEYTTÜRK ENERJİ ÜRETİM VE TİCARET ANONİM ŞİRKETİ,BEYTTÜRK ENERJİ ÜRETİM VE TİCARET ANONİM ŞİRKETİ, ,Akköy Köyü Mahallesi Ayrım Sokağı  No:5/1  Akköy Köyü Termal / YALOVA,SKT/27038,AC,AC_TYPE2,22.0,,
359.0,ŞRJ/10998,MAXWELL OTEL,HALKA_ACIK,fixcharge,BEYTTÜRK ENERJİ ÜRETİM VE TİCARET ANONİM ŞİRKETİ,BEYTTÜRK ENERJİ ÜRETİM VE TİCARET ANONİM ŞİRKETİ, ,Akköy Köyü Mahallesi Ayrım Sokağı  No:5/1  Akköy Köyü Termal / YALOVA,SKT/27039,AC,AC_TYPE2,22.0,,
368.0,ŞRJ/13518,ALTINOVA MARİN TURİZM,HALKA_ACIK,fixcharge,BEYTTÜRK ENERJİ ÜRETİM VE TİCARET ANONİM ŞİRKETİ,BEYTTÜRK ENERJİ ÜRETİM VE TİCARET ANONİM ŞİRKETİ, ,İzmit Yolu Üzeri Mahallesi İpek Kağıt Fabrikası Yanı Caddesi Altınova / YALOVA,SKT/35128,AC,AC_TYPE2,22.0,,
368.0,ŞRJ/13518,ALTINOVA MARİN TURİZM,HALKA_ACIK,fixcharge,BEYTTÜRK ENERJİ ÜRETİM VE TİCARET ANONİM ŞİRKETİ,BEYTTÜRK ENERJİ ÜRETİM VE TİCARET ANONİM ŞİRKETİ, ,İzmit Yolu Üzeri Mahallesi İpek Kağıt Fabrikası Yanı Caddesi Altınova / YALOVA,SKT/35129,DC,DC_CCS,30.0,,
397.0,ŞRJ/17725,YUSUFELİ TİCARET MERKEZİ,HALKA_ACIK,MKS-ŞARJ,MAKSEM ELEKTRO ŞARJ ANONİM ŞİRKETİ,MAKSEM ELEKTRO ŞARJ ANONİM ŞİRKETİ, ,Dr. Mimar Kadir Topbaş Caddesi Poh Erol Ince Sokağı Yusufeli / ARTVİN,SKT/48566,DC,DC_CCS,240.0,,
397.0,ŞRJ/17725,YUSUFELİ TİCARET MERKEZİ,HALKA_ACIK,MKS-ŞARJ,MAKSEM ELEKTRO ŞARJ ANONİM ŞİRKETİ,MAKSEM ELEKTRO ŞARJ ANONİM ŞİRKETİ, ,Dr. Mimar Kadir Topbaş Caddesi Poh Erol Ince Sokağı Yusufeli / ARTVİN,SKT/48567,DC,DC_CCS,240.0,,
413.0,ŞRJ/2114,KESKİNLER OTO ÖZEL SERVİS,HALKA_ACIK,RSŞARJ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ, ,Üçevler Mahallesi 12. Sokağı  No:7/8 /8. BLOK  Beşevler Küçük Sanayi Sitesi Nilüfer / BURSA,SKT/3862,AC,AC_TYPE2,22.0,,
415.0,ŞRJ/2128,AKUĞUR MARKET - ERTUĞRULKENT 4 ŞUBESİ,HALKA_ACIK,RSŞARJ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ, ,Ertuğrul Mahallesi 503. Sokağı  No:18 /A BLOK  Tarabya St. Dük. 25-26 Nilüfer / BURSA,SKT/3882,AC,AC_TYPE2,22.0,,
425.0,ŞRJ/3430,CLUB K9,HALKA_ACIK,RSŞARJ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ, ,Çukurcaköy Mahallesi 251 Botanik Parkı Yanı Caddesi Osmangazi / BURSA,SKT/6849,AC,AC_TYPE2,22.0,,
445.0,ŞRJ/12717,KMO BiMola ÖMERLİ,HALKA_ACIK,RSŞARJ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ, ,Ömerli Mahallesi  Bimola Dinlenme Tesisi  Merkez Çekmeköy / İSTANBUL,SKT/32759,DC,DC_CCS,180.0,,
445.0,ŞRJ/12717,KMO BiMola ÖMERLİ,HALKA_ACIK,RSŞARJ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ, ,Ömerli Mahallesi  Bimola Dinlenme Tesisi  Merkez Çekmeköy / İSTANBUL,SKT/32761,DC,DC_CCS,180.0,,
450.0,ŞRJ/13532,KMO BiMola REŞADİYE,HALKA_ACIK,RSŞARJ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ, ,Ömerli Mahallesi  Bimola Dinlenme Tesisi  Merkez Çekmeköy / İSTANBUL,SKT/35171,DC,DC_CCS,180.0,,
450.0,ŞRJ/13532,KMO BiMola REŞADİYE,HALKA_ACIK,RSŞARJ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ, ,Ömerli Mahallesi  Bimola Dinlenme Tesisi  Merkez Çekmeköy / İSTANBUL,SKT/35172,DC,DC_CCS,180.0,,
451.0,ŞRJ/13818,KMO BiMola IŞIKLAR,HALKA_ACIK,RSŞARJ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ, ,Pirinççi Mahallesi  Bimola Işıklar Dinlenme Tesisi Eyüpsultan / İSTANBUL,SKT/36228,DC,DC_CCS,180.0,,
451.0,ŞRJ/13818,KMO BiMola IŞIKLAR,HALKA_ACIK,RSŞARJ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ, ,Pirinççi Mahallesi  Bimola Işıklar Dinlenme Tesisi Eyüpsultan / İSTANBUL,SKT/36229,DC,DC_CCS,180.0,,
452.0,ŞRJ/13819,KMO BiMola FENERTEPE,HALKA_ACIK,RSŞARJ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ, ,Pirinççi Mahallesi  Bimola Fenertepe Dinlenme Tesisi Eyüpsultan / İSTANBUL,SKT/36232,DC,DC_CCS,180.0,,
452.0,ŞRJ/13819,KMO BiMola FENERTEPE,HALKA_ACIK,RSŞARJ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ, ,Pirinççi Mahallesi  Bimola Fenertepe Dinlenme Tesisi Eyüpsultan / İSTANBUL,SKT/36233,DC,DC_CCS,180.0,,
453.0,ŞRJ/14457,KMO BiMola ODAYERİ,HALKA_ACIK,RSŞARJ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ, ,Odayeri Mahallesi  Bimola Odayeri Dinlenme Tesisi Eyüpsultan / İSTANBUL,SKT/38077,DC,DC_CCS,180.0,,
453.0,ŞRJ/14457,KMO BiMola ODAYERİ,HALKA_ACIK,RSŞARJ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ, ,Odayeri Mahallesi  Bimola Odayeri Dinlenme Tesisi Eyüpsultan / İSTANBUL,SKT/38078,DC,DC_CCS,180.0,,
454.0,ŞRJ/14490,KMO BiMola ÇİFTALAN,HALKA_ACIK,RSŞARJ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ, ,Çiftalan Mahallesi  Bimola Çiftalan Dinlenme Tesisi Eyüpsultan / İSTANBUL,SKT/38166,DC,DC_CCS,180.0,,
454.0,ŞRJ/14490,KMO BiMola ÇİFTALAN,HALKA_ACIK,RSŞARJ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ, ,Çiftalan Mahallesi  Bimola Çiftalan Dinlenme Tesisi Eyüpsultan / İSTANBUL,SKT/38167,DC,DC_CCS,180.0,,
456.0,ŞRJ/15594,KMO BiMola POYRAZKÖY KUZEY,HALKA_ACIK,RSŞARJ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ, ,Poyrazköy Mahallesi 0 / 0 Sokağı  Bimola Poyrazköy Kuzey Dinlenme Tesisi  Merkez Beykoz / İSTANBUL,SKT/41655,DC,DC_CCS,180.0,,
456.0,ŞRJ/15594,KMO BiMola POYRAZKÖY KUZEY,HALKA_ACIK,RSŞARJ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ, ,Poyrazköy Mahallesi 0 / 0 Sokağı  Bimola Poyrazköy Kuzey Dinlenme Tesisi  Merkez Beykoz / İSTANBUL,SKT/41656,DC,DC_CCS,180.0,,
457.0,ŞRJ/15595,KMO BiMola POYRAZKÖY GÜNEY,HALKA_ACIK,RSŞARJ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ, ,Poyrazköy Mahallesi  No:1 / 1  Bimola Poyrazköy Güney Dinlenme Tesisi  Merkez Beykoz / İSTANBUL,SKT/41657,DC,DC_CCS,180.0,,
457.0,ŞRJ/15595,KMO BiMola POYRAZKÖY GÜNEY,HALKA_ACIK,RSŞARJ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ, ,Poyrazköy Mahallesi  No:1 / 1  Bimola Poyrazköy Güney Dinlenme Tesisi  Merkez Beykoz / İSTANBUL,SKT/41658,DC,DC_CCS,180.0,,
458.0,ŞRJ/15596,KMO BiMola ÇEKMEKÖY ÇAMLIK KUZEY,HALKA_ACIK,RSŞARJ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ, ,Yavuz Selim Mahallesi Fsm Bağlantı Yolu Sokağı  No:1 / 1  Bimola Çekmeköy Kuzey Dinlenme Tesisi Çekmeköy / İSTANBUL,SKT/41659,DC,DC_CCS,180.0,,
458.0,ŞRJ/15596,KMO BiMola ÇEKMEKÖY ÇAMLIK KUZEY,HALKA_ACIK,RSŞARJ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ,2M ELEKTRİKLİ ARAÇ ŞARJ AĞI VE İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ, ,Yavuz Selim Mahallesi Fsm Bağlantı Yolu Sokağı  No:1 / 1  Bimola Çekmeköy Kuzey Dinlenme Tesisi Çekmeköy / İSTANBUL,SKT/41660,DC,DC_CCS,180.0,,
23.0,ŞRJ/10088,Atatürk Kültür Merkezi,HALKA_ACIK,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ, ,Limonluk Mahallesi Ali Kaya Mutlu Sokağı  No:11  Merkez Yenişehir / MERSİN,SKT/24283,DC,DC_CCS,60.0,,
23.0,ŞRJ/10088,Atatürk Kültür Merkezi,HALKA_ACIK,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ, ,Limonluk Mahallesi Ali Kaya Mutlu Sokağı  No:11  Merkez Yenişehir / MERSİN,SKT/24284,DC,DC_CCS,60.0,,
23.0,ŞRJ/10088,Atatürk Kültür Merkezi,HALKA_ACIK,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ, ,Limonluk Mahallesi Ali Kaya Mutlu Sokağı  No:11  Merkez Yenişehir / MERSİN,SKT/24285,DC,DC_CCS,60.0,,
23.0,ŞRJ/10088,Atatürk Kültür Merkezi,HALKA_ACIK,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ, ,Limonluk Mahallesi Ali Kaya Mutlu Sokağı  No:11  Merkez Yenişehir / MERSİN,SKT/24286,DC,DC_CCS,60.0,,
23.0,ŞRJ/10088,Atatürk Kültür Merkezi,HALKA_ACIK,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ, ,Limonluk Mahallesi Ali Kaya Mutlu Sokağı  No:11  Merkez Yenişehir / MERSİN,SKT/24287,AC,AC_TYPE2,22.0,,
23.0,ŞRJ/10088,Atatürk Kültür Merkezi,HALKA_ACIK,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ, ,Limonluk Mahallesi Ali Kaya Mutlu Sokağı  No:11  Merkez Yenişehir / MERSİN,SKT/24288,AC,AC_TYPE2,22.0,,
23.0,ŞRJ/10088,Atatürk Kültür Merkezi,HALKA_ACIK,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ, ,Limonluk Mahallesi Ali Kaya Mutlu Sokağı  No:11  Merkez Yenişehir / MERSİN,SKT/24289,AC,AC_TYPE2,22.0,,
