Sıra No,İstasyon No,İstasyon Adı,Hizmet Şekli,Marka,Şarj Ağı İşletmecisi,Şarj İstasyonu İşletmecisi,Yeşil Şarj İstasyonu mu,Adres,Soket No,Soket Tipi,Soket Türü,Soket Gücü (kW)
1.0,ŞRJ/20759,Gordion Park Florya,OZEL,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Fırat Mahallesi Kayapınar / DİYARBAKIR,SKT/59831,AC,AC_TYPE2,22
1.0,ŞRJ/20759,Gordion Park Florya,OZEL,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Fırat Mahallesi Kayapınar / DİYARBAKIR,SKT/59832,AC,AC_TYPE2,22
2.0,ŞRJ/17310,Opet Beykoz Petrol,HALKA_ACIK,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Gökçeyurt Mahallesi Samsun Devlet Yolu Sokağı Mamak / ANKARA,SKT/47334,DC,DC_CCS,180
2.0,ŞRJ/17310,Opet Beykoz Petrol,HALKA_ACIK,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Gökçeyurt Mahallesi Samsun Devlet Yolu Sokağı Mamak / ANKARA,SKT/47335,DC,DC_CCS,180
3.0,ŞRJ/20774,Toki Kusunlar,HALKA_ACIK,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Zirvekent Mahallesi Osmanlı Caddesi  No:53/6  Kusunlar Toki Sitesi Mamak / ANKARA,SKT/59957,AC,AC_TYPE2,11
3.0,ŞRJ/20774,Toki Kusunlar,HALKA_ACIK,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Zirvekent Mahallesi Osmanlı Caddesi  No:53/6  Kusunlar Toki Sitesi Mamak / ANKARA,SKT/59958,AC,AC_TYPE2,11
3.0,ŞRJ/20774,Toki Kusunlar,HALKA_ACIK,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Zirvekent Mahallesi Osmanlı Caddesi  No:53/6  Kusunlar Toki Sitesi Mamak / ANKARA,SKT/59959,AC,AC_TYPE2,11
3.0,ŞRJ/20774,Toki Kusunlar,HALKA_ACIK,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Zirvekent Mahallesi Osmanlı Caddesi  No:53/6  Kusunlar Toki Sitesi Mamak / ANKARA,SKT/59960,AC,AC_TYPE2,11
3.0,ŞRJ/20774,Toki Kusunlar,HALKA_ACIK,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Zirvekent Mahallesi Osmanlı Caddesi  No:53/6  Kusunlar Toki Sitesi Mamak / ANKARA,SKT/59961,AC,AC_TYPE2,11
3.0,ŞRJ/20774,Toki Kusunlar,HALKA_ACIK,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Zirvekent Mahallesi Osmanlı Caddesi  No:53/6  Kusunlar Toki Sitesi Mamak / ANKARA,SKT/59962,AC,AC_TYPE2,11
4.0,ŞRJ/20806,Delka Otomotiv,HALKA_ACIK,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Eskihisar Mahallesi 1287 Sokağı  No:37/1 Merkezefendi / DENİZLİ,SKT/60100,DC,DC_CCS,180
4.0,ŞRJ/20806,Delka Otomotiv,HALKA_ACIK,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Eskihisar Mahallesi 1287 Sokağı  No:37/1 Merkezefendi / DENİZLİ,SKT/60101,DC,DC_CCS,180
5.0,ŞRJ/20852,US POWER YALIKAVAK,HALKA_ACIK,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Yalıkavak Mahallesi Ömer Efendi Caddesi Bodrum / MUĞLA,SKT/60311,DC,DC_CCS,90
5.0,ŞRJ/20852,US POWER YALIKAVAK,HALKA_ACIK,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Yalıkavak Mahallesi Ömer Efendi Caddesi Bodrum / MUĞLA,SKT/60312,DC,DC_CCS,90
6.0,ŞRJ/20858,Lusso Sorgun Otel,HALKA_ACIK,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Sorgun Mahallesi  Acısu Mevkii Manavgat / ANTALYA,SKT/60365,AC,AC_TYPE2,22
6.0,ŞRJ/20858,Lusso Sorgun Otel,HALKA_ACIK,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Sorgun Mahallesi  Acısu Mevkii Manavgat / ANTALYA,SKT/60366,AC,AC_TYPE2,22
7.0,ŞRJ/20865,Maslak Aynalı Çarşı,HALKA_ACIK,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Maslak Mahallesi Söğüt Sokağı  No:20 Sarıyer / İSTANBUL,SKT/60376,DC,DC_CCS,180
7.0,ŞRJ/20865,Maslak Aynalı Çarşı,HALKA_ACIK,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Maslak Mahallesi Söğüt Sokağı  No:20 Sarıyer / İSTANBUL,SKT/60377,DC,DC_CCS,180
7.0,ŞRJ/20865,Maslak Aynalı Çarşı,HALKA_ACIK,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Maslak Mahallesi Söğüt Sokağı  No:20 Sarıyer / İSTANBUL,SKT/60378,DC,DC_CCS,180
7.0,ŞRJ/20865,Maslak Aynalı Çarşı,HALKA_ACIK,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Maslak Mahallesi Söğüt Sokağı  No:20 Sarıyer / İSTANBUL,SKT/60379,DC,DC_CCS,180
8.0,ŞRJ/20866,Söyleyiciler Azure Sitesi,OZEL,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Muzaffer Türkeş Mahallesi 219 Caddesi  No:74-76 Merkez / ISPARTA,SKT/60380,AC,AC_TYPE2,11
9.0,ŞRJ/2384,Ulucanlar Cezaevi  Müzesi,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Hacettepe Mahallesi Ulucanlar Caddesi  63 Altındağ / ANKARA,SKT/4386,AC,AC_TYPE2,22
9.0,ŞRJ/2384,Ulucanlar Cezaevi  Müzesi,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Hacettepe Mahallesi Ulucanlar Caddesi  63 Altındağ / ANKARA,SKT/4387,AC,AC_TYPE2,22
10.0,ŞRJ/2390,Başkent Millet Bahçesi,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Zübeyde Hanım Mahallesi Hipodrom Caddesi  6 Altındağ / ANKARA,SKT/4399,AC,AC_TYPE2,22
10.0,ŞRJ/2390,Başkent Millet Bahçesi,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Zübeyde Hanım Mahallesi Hipodrom Caddesi  6 Altındağ / ANKARA,SKT/4400,AC,AC_TYPE2,22
10.0,ŞRJ/2390,Başkent Millet Bahçesi,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Zübeyde Hanım Mahallesi Hipodrom Caddesi  6 Altındağ / ANKARA,SKT/4401,AC,AC_TYPE2,22
11.0,ŞRJ/2392,Bilgi Hastanesi,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,İnönü Mahallesi  No:99 Yenimahalle / ANKARA,SKT/4405,AC,AC_TYPE2,22
11.0,ŞRJ/2392,Bilgi Hastanesi,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,İnönü Mahallesi  No:99 Yenimahalle / ANKARA,SKT/4406,AC,AC_TYPE2,22
11.0,ŞRJ/2392,Bilgi Hastanesi,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,İnönü Mahallesi  No:99 Yenimahalle / ANKARA,SKT/4407,AC,AC_TYPE2,22
12.0,ŞRJ/2394,Altınköy At Manej Alanı,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Beşikkaya Mahallesi 2044/2 Sokağı  66 Altındağ / ANKARA,SKT/4411,AC,AC_TYPE2,22
12.0,ŞRJ/2394,Altınköy At Manej Alanı,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Beşikkaya Mahallesi 2044/2 Sokağı  66 Altındağ / ANKARA,SKT/4412,AC,AC_TYPE2,22
13.0,ŞRJ/6983,Next Level Çayoolu Toplu Konut Sitesi (Güney Ada),OZEL,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Beytepe Mahallesi 5452 Sokağı  No:8 Çankaya / ANKARA,SKT/15594,AC,AC_TYPE2,22
13.0,ŞRJ/6983,Next Level Çayoolu Toplu Konut Sitesi (Güney Ada),OZEL,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Beytepe Mahallesi 5452 Sokağı  No:8 Çankaya / ANKARA,SKT/15595,AC,AC_TYPE2,22
14.0,ŞRJ/7672,Next Level Çayyolu Kuzey Ada,OZEL,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Beytepe Mahallesi 5452 Sokağı  No:8 Çankaya / ANKARA,SKT/17478,AC,AC_TYPE2,22
14.0,ŞRJ/7672,Next Level Çayyolu Kuzey Ada,OZEL,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Beytepe Mahallesi 5452 Sokağı  No:8 Çankaya / ANKARA,SKT/17479,AC,AC_TYPE2,22
15.0,ŞRJ/7224,Lodumlu Park,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Beytepe Mahallesi  Lodumlu Park Önü Cep Otopark Çankaya / ANKARA,SKT/16178,AC,AC_TYPE2,22
15.0,ŞRJ/7224,Lodumlu Park,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Beytepe Mahallesi  Lodumlu Park Önü Cep Otopark Çankaya / ANKARA,SKT/16179,AC,AC_TYPE2,22
15.0,ŞRJ/7224,Lodumlu Park,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Beytepe Mahallesi  Lodumlu Park Önü Cep Otopark Çankaya / ANKARA,SKT/16180,AC,AC_TYPE2,22
15.0,ŞRJ/7224,Lodumlu Park,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Beytepe Mahallesi  Lodumlu Park Önü Cep Otopark Çankaya / ANKARA,SKT/16181,AC,AC_TYPE2,22
16.0,ŞRJ/6992,ABB Kocatepe Çok Katlı Kapalı Otoparkı,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Kültür Mahallesi Kızılırmak Caddesi  Abb Kocatepe Çok Katlı Kapalı Otopark Çankaya / ANKARA,SKT/15618,AC,AC_TYPE2,22
16.0,ŞRJ/6992,ABB Kocatepe Çok Katlı Kapalı Otoparkı,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Kültür Mahallesi Kızılırmak Caddesi  Abb Kocatepe Çok Katlı Kapalı Otopark Çankaya / ANKARA,SKT/15619,AC,AC_TYPE2,22
16.0,ŞRJ/6992,ABB Kocatepe Çok Katlı Kapalı Otoparkı,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Kültür Mahallesi Kızılırmak Caddesi  Abb Kocatepe Çok Katlı Kapalı Otopark Çankaya / ANKARA,SKT/15620,AC,AC_TYPE2,22
16.0,ŞRJ/6992,ABB Kocatepe Çok Katlı Kapalı Otoparkı,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Kültür Mahallesi Kızılırmak Caddesi  Abb Kocatepe Çok Katlı Kapalı Otopark Çankaya / ANKARA,SKT/15621,AC,AC_TYPE2,22
16.0,ŞRJ/6992,ABB Kocatepe Çok Katlı Kapalı Otoparkı,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Kültür Mahallesi Kızılırmak Caddesi  Abb Kocatepe Çok Katlı Kapalı Otopark Çankaya / ANKARA,SKT/15622,AC,AC_TYPE2,22
16.0,ŞRJ/6992,ABB Kocatepe Çok Katlı Kapalı Otoparkı,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Kültür Mahallesi Kızılırmak Caddesi  Abb Kocatepe Çok Katlı Kapalı Otopark Çankaya / ANKARA,SKT/15623,AC,AC_TYPE2,22
17.0,ŞRJ/10109,Hacı Bayram-ı Veli Camii Kapalı Otopark,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Hacı Bayram Mahallesi Çeşme Sokağı  No:9 Altındağ / ANKARA,SKT/24346,AC,AC_TYPE2,22
17.0,ŞRJ/10109,Hacı Bayram-ı Veli Camii Kapalı Otopark,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Hacı Bayram Mahallesi Çeşme Sokağı  No:9 Altındağ / ANKARA,SKT/24347,AC,AC_TYPE2,22
17.0,ŞRJ/10109,Hacı Bayram-ı Veli Camii Kapalı Otopark,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Hacı Bayram Mahallesi Çeşme Sokağı  No:9 Altındağ / ANKARA,SKT/24349,AC,AC_TYPE2,22
17.0,ŞRJ/10109,Hacı Bayram-ı Veli Camii Kapalı Otopark,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Hacı Bayram Mahallesi Çeşme Sokağı  No:9 Altındağ / ANKARA,SKT/24350,AC,AC_TYPE2,22
17.0,ŞRJ/10109,Hacı Bayram-ı Veli Camii Kapalı Otopark,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Hacı Bayram Mahallesi Çeşme Sokağı  No:9 Altındağ / ANKARA,SKT/24351,AC,AC_TYPE2,22
17.0,ŞRJ/10109,Hacı Bayram-ı Veli Camii Kapalı Otopark,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Hacı Bayram Mahallesi Çeşme Sokağı  No:9 Altındağ / ANKARA,SKT/24352,AC,AC_TYPE2,22
17.0,ŞRJ/10109,Hacı Bayram-ı Veli Camii Kapalı Otopark,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Hacı Bayram Mahallesi Çeşme Sokağı  No:9 Altındağ / ANKARA,SKT/24353,AC,AC_TYPE2,22
17.0,ŞRJ/10109,Hacı Bayram-ı Veli Camii Kapalı Otopark,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Hacı Bayram Mahallesi Çeşme Sokağı  No:9 Altındağ / ANKARA,SKT/24354,DC,DC_CCS,47
17.0,ŞRJ/10109,Hacı Bayram-ı Veli Camii Kapalı Otopark,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Hacı Bayram Mahallesi Çeşme Sokağı  No:9 Altındağ / ANKARA,SKT/24355,DC,DC_CCS,47
18.0,ŞRJ/6982,Mogan Park (Kafeler Önü),HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Karşıyaka Mahallesi  Abb Mogan Park Gölbaşı / ANKARA,SKT/15592,AC,AC_TYPE2,22
18.0,ŞRJ/6982,Mogan Park (Kafeler Önü),HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Karşıyaka Mahallesi  Abb Mogan Park Gölbaşı / ANKARA,SKT/15593,AC,AC_TYPE2,22
19.0,ŞRJ/6981,Mogan Park (ANFA Önü),HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Karşıyaka Mahallesi  Abb Mogan Park Gölbaşı / ANKARA,SKT/15587,AC,AC_TYPE2,22
19.0,ŞRJ/6981,Mogan Park (ANFA Önü),HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Karşıyaka Mahallesi  Abb Mogan Park Gölbaşı / ANKARA,SKT/15588,AC,AC_TYPE2,22
20.0,ŞRJ/6200,Göksu Parkı Giriş Otoparkı,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Göksu Mahallesi 1.tbmm Caddesi  Göksu Rekreasyon Alanı İçi / Otopark Etimesgut / ANKARA,SKT/13527,AC,AC_TYPE2,22
20.0,ŞRJ/6200,Göksu Parkı Giriş Otoparkı,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Göksu Mahallesi 1.tbmm Caddesi  Göksu Rekreasyon Alanı İçi / Otopark Etimesgut / ANKARA,SKT/13528,AC,AC_TYPE2,22
21.0,ŞRJ/6199,Göksu Parkı Kafeler Otopark,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Göksu Mahallesi  Göksu Rekreasyon Alanı İçi Kafeler Karşısı / Otopark Etimesgut / ANKARA,SKT/13525,AC,AC_TYPE2,22
21.0,ŞRJ/6199,Göksu Parkı Kafeler Otopark,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Göksu Mahallesi  Göksu Rekreasyon Alanı İçi Kafeler Karşısı / Otopark Etimesgut / ANKARA,SKT/13526,AC,AC_TYPE2,22
22.0,ŞRJ/6198,Göksu Parkı ANFA yanı Otopark,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Göksu Mahallesi  Göksu Parkı Rekreasyon Alanı İçi Kaşmir Avm Karşısı / Otopark Etimesgut / ANKARA,SKT/13521,AC,AC_TYPE2,22
22.0,ŞRJ/6198,Göksu Parkı ANFA yanı Otopark,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Göksu Mahallesi  Göksu Parkı Rekreasyon Alanı İçi Kaşmir Avm Karşısı / Otopark Etimesgut / ANKARA,SKT/13522,AC,AC_TYPE2,22
22.0,ŞRJ/6198,Göksu Parkı ANFA yanı Otopark,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Göksu Mahallesi  Göksu Parkı Rekreasyon Alanı İçi Kaşmir Avm Karşısı / Otopark Etimesgut / ANKARA,SKT/13523,AC,AC_TYPE2,22
22.0,ŞRJ/6198,Göksu Parkı ANFA yanı Otopark,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Göksu Mahallesi  Göksu Parkı Rekreasyon Alanı İçi Kaşmir Avm Karşısı / Otopark Etimesgut / ANKARA,SKT/13524,AC,AC_TYPE2,22
23.0,ŞRJ/5497,Dasi Motorlu Araçlar,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Yeni Batı Mahallesi 60 Sokağı Yenimahalle / ANKARA,SKT/11948,AC,AC_TYPE2,22
23.0,ŞRJ/5497,Dasi Motorlu Araçlar,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Yeni Batı Mahallesi 60 Sokağı Yenimahalle / ANKARA,SKT/11949,AC,AC_TYPE2,22
24.0,ŞRJ/3213,GMG Garage Beytepe,HALKA_ACIK,NEVA ŞARJ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ, ,Beytepe Mahallesi Ali Kuşçu Caddesi  No:2A/2 Çankaya / ANKARA,SKT/6224,AC,AC_TYPE2,22
