name,href,range_km,one_stop_range_km,efficiency_wh_per_km,battery_kwh,fastcharge_kw,acceleration_0_100_sec,towing_kg,cargo_l,weight_kg,raw_text,page_url
Tesla Model 3 RWD (Highland) Available,https://ev-database.org/car/3403/Tesla-Model-3-RWD,445.0,523.0,135.0,60.0,110.0,6.2,1000.0,682.0,1847.0,"Tesla Model 3 RWD (Highland) Available to order since December 2025 D 5 V2 L H G Range* 445 km Efficiency* 135 Wh/km Weight 1,847 kg 0-100 6.2 sec 1-Stop Range 523 km Battery* 60.0 kWh Fastcharge 110 kW Towing 1,000 kg Cargo Vol. 682 L Price/range* €89 /km €37,970 €36,990 £37,990",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
BMW iX3 50 xDrive (MY26) Available,https://ev-database.org/car/3290/BMW-iX3-50-xDrive,635.0,770.0,171.0,108.7,230.0,4.9,2000.0,578.0,2360.0,"BMW iX3 50 xDrive (MY26) Available to order since September 2025 D 5 V2 L H G Range 635 km Efficiency 171 Wh/km Weight 2,360 kg 0-100 4.9 sec 1-Stop Range 770 km Battery 108.7 kWh Fastcharge 230 kW Towing 2,000 kg Cargo Vol. 578 L Price/range €110 /km €70,900 €70,501 £58,755",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
MG MG4 Electric 64 kWh (MY22-25),https://ev-database.org/car/1708/MG-MG4-Electric-64-kWh,360.0,401.0,171.0,61.7,107.0,7.9,500.0,363.0,1726.0,"MG MG4 Electric 64 kWh (MY22-25) Discontinued (October 2022 - February 2026) C 5 5 V2 L H G Range 360 km Efficiency 171 Wh/km Weight 1,726 kg 0-100 7.9 sec 1-Stop Range 401 km Battery 61.7 kWh Fastcharge 107 kW Towing 500 kg Cargo Vol. 363 L Price/range €103 /km €39,990 €37,570 £29,745",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
BMW iX xDrive40 Discontinued (October 2021,https://ev-database.org/car/1472/BMW-iX-xDrive40,360.0,382.0,197.0,71.0,92.0,6.1,2500.0,500.0,2440.0,"BMW iX xDrive40 Discontinued (October 2021 - January 2025) E 5 5 V2 L H G Range 360 km Efficiency 197 Wh/km Weight 2,440 kg 0-100 6.1 sec 1-Stop Range 382 km Battery 71.0 kWh Fastcharge 92 kW Towing 2,500 kg Cargo Vol. 500 L Price/range €225 /km €77,300 €84,998 £69,905",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
Hyundai IONIQ 3 61 kWh (MY27),https://ev-database.org/car/3555/Hyundai-IONIQ-3-61-kWh,375.0,399.0,155.0,58.0,85.0,9.6,,441.0,1580.0,"Hyundai IONIQ 3 61 kWh (MY27) Available to order from July 2026* B 5 V2 L H G Range* 375 km Efficiency* 155 Wh/km Weight 1,580 kg 0-100 9.6 sec 1-Stop Range 399 km Battery* 58.0 kWh Fastcharge 85 kW Towing unknown Cargo Vol. 441 L Price/range* €91 /km * €34,000 * €34,000 * £30,000",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
Fiat 500e Hatchback 42 kWh Available,https://ev-database.org/car/1285/Fiat-500e-Hatchback-42-kWh,235.0,260.0,159.0,37.3,65.0,9.0,0.0,185.0,1365.0,"Fiat 500e Hatchback 42 kWh Available to order since November 2020 B 4 4 V2 L H G Range 235 km Efficiency 159 Wh/km Weight 1,365 kg 0-100 9.0 sec 1-Stop Range 260 km Battery 37.3 kWh Fastcharge 65 kW Towing 0 kg Cargo Vol. 185 L Price/range €128 /km €34,990 €27,999 £23,995",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
CUPRA Born 150 kW - 58,https://ev-database.org/car/1516/CUPRA-Born-150-kW---58-kWh,350.0,369.0,166.0,58.0,75.0,7.3,0.0,385.0,1811.0,"CUPRA Born 150 kW - 58 kWh (MY22-24) Discontinued (October 2021 - July 2024) C 5 5 V2 L H G Range* 350 km Efficiency* 166 Wh/km Weight 1,811 kg 0-100 7.3 sec 1-Stop Range 369 km Battery 58.0 kWh Fastcharge 75 kW Towing 0 kg Cargo Vol. 385 L Price/range* €110 /km €39,370 €36,939 £34,125",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
Mercedes-Benz CLA 250+ Available to order,https://ev-database.org/car/3139/Mercedes-Benz-CLA-250plus,585.0,746.0,145.0,85.0,208.0,6.7,1500.0,506.0,2055.0,"Mercedes-Benz CLA 250+ Available to order since May 2025 D 5 V2 L H G Range* 585 km Efficiency* 145 Wh/km Weight 2,055 kg 0-100 6.7 sec 1-Stop Range 746 km Battery 85.0 kWh Fastcharge 208 kW Towing 1,500 kg Cargo Vol. 506 L Price/range* €92 /km €55,728 €53,554 £45,615",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
Tesla Model Y Long Range AWD,https://ev-database.org/car/3104/Tesla-Model-Y-Long-Range-AWD,455.0,535.0,165.0,75.0,124.0,4.8,1600.0,971.0,2072.0,"Tesla Model Y Long Range AWD (Juniper) Discontinued (February 2025 - October 2025) D 5 5 V2 L H G Range* 455 km Efficiency* 165 Wh/km Weight 2,072 kg 0-100 4.8 sec 1-Stop Range 535 km Battery* 75.0 kWh Fastcharge 124 kW Towing 1,600 kg Cargo Vol. 971 L Price/range* €122 /km €52,990 €53,990 £51,990",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
Kia EV3 Long Range Available to,https://ev-database.org/car/2212/Kia-EV3-Long-Range,455.0,472.0,171.0,78.0,105.0,7.7,1000.0,485.0,1885.0,"Kia EV3 Long Range Available to order since July 2024 B 5 5 V2 L H G Range 455 km Efficiency 171 Wh/km Weight 1,885 kg 0-100 7.7 sec 1-Stop Range 472 km Battery* 78.0 kWh Fastcharge 105 kW Towing 1,000 kg Cargo Vol. 485 L Price/range €90 /km €41,390 €41,495 £34,555",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
CUPRA Born 170 kW - 77,https://ev-database.org/car/1518/CUPRA-Born-170-kW---77-kWh,450.0,479.0,171.0,77.0,103.0,7.0,0.0,385.0,1946.0,"CUPRA Born 170 kW - 77 kWh (MY22-24) Discontinued (March 2022 - July 2024) C 4 5 V2 L H G Range 450 km Efficiency 171 Wh/km Weight 1,946 kg 0-100 7.0 sec 1-Stop Range 479 km Battery 77.0 kWh Fastcharge 103 kW Towing 0 kg Cargo Vol. 385 L Price/range €103 /km €46,450 €46,989 £39,625",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
Volkswagen ID. Polo 52 kWh Available,https://ev-database.org/car/3581/Volkswagen-ID-Polo-52-kWh,335.0,362.0,155.0,52.0,95.0,7.1,1200.0,441.0,1576.0,"Volkswagen ID. Polo 52 kWh Available to order since April 2026 B 5 V2 L H G Range* 335 km Efficiency* 155 Wh/km Weight 1,576 kg 0-100 7.1 sec 1-Stop Range 362 km Battery 52.0 kWh Fastcharge 95 kW Towing 1,200 kg Cargo Vol. 441 L Price/range* €102 /km €33,795 * €34,000 * £30,000",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
Leapmotor B05 67.1 kWh Available to,https://ev-database.org/car/3564/Leapmotor-B05-671-kWh,375.0,426.0,173.0,65.0,110.0,6.6,,345.0,1912.0,"Leapmotor B05 67.1 kWh Available to order since April 2026 C 5 V2 L H G Range* 375 km Efficiency* 173 Wh/km Weight 1,912 kg 0-100 6.6 sec 1-Stop Range 426 km Battery* 65.0 kWh Fastcharge 110 kW Towing unknown Cargo Vol. 345 L Price/range* €80 /km * €29,000 €28,995 * £28,000",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
Tesla Model Y RWD (Juniper) Available,https://ev-database.org/car/3362/Tesla-Model-Y-RWD,380.0,440.0,158.0,60.0,110.0,7.2,1600.0,952.0,1981.0,"Tesla Model Y RWD (Juniper) Available to order since October 2025 D 5 V2 L H G Range* 380 km Efficiency* 158 Wh/km Weight 1,981 kg 0-100 7.2 sec 1-Stop Range 440 km Battery* 60.0 kWh Fastcharge 110 kW Towing 1,600 kg Cargo Vol. 952 L Price/range* €113 /km €40,970 €39,990 £41,990",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
Tesla Model Y Long Range AWD,https://ev-database.org/car/1619/Tesla-Model-Y-Long-Range-AWD,445.0,524.0,169.0,75.0,124.0,5.0,1600.0,971.0,2054.0,"Tesla Model Y Long Range AWD Discontinued (February 2022 - February 2025) D 7 5 V2 L H G Range* 445 km Efficiency* 169 Wh/km Weight 2,054 kg 0-100 5.0 sec 1-Stop Range 524 km Battery* 75.0 kWh Fastcharge 124 kW Towing 1,600 kg Cargo Vol. 971 L Price/range* €126 /km €55,970 €52,990 £51,990",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
Tesla Model 3 Premium RWD (Highland),https://ev-database.org/car/3404/Tesla-Model-3-Premium-RWD,580.0,688.0,136.0,79.0,125.0,5.2,1000.0,682.0,1822.0,"Tesla Model 3 Premium RWD (Highland) Available to order since December 2025 D 5 5 V2 L H G Range* 580 km Efficiency* 136 Wh/km Weight 1,822 kg 0-100 5.2 sec 1-Stop Range 688 km Battery* 79.0 kWh Fastcharge 125 kW Towing 1,000 kg Cargo Vol. 682 L Price/range* €83 /km €45,970 €45,990 £44,990",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
Mercedes-Benz GLC 400 4MATIC Available to,https://ev-database.org/car/3296/Mercedes-Benz-GLC-400-4MATIC,500.0,606.0,188.0,94.0,190.0,4.3,2400.0,698.0,2535.0,"Mercedes-Benz GLC 400 4MATIC Available to order since October 2025 D 5 V2 L H G Range* 500 km Efficiency* 188 Wh/km Weight 2,535 kg 0-100 4.3 sec 1-Stop Range 606 km Battery 94.0 kWh Fastcharge 190 kW Towing 2,400 kg Cargo Vol. 698 L Price/range* €142 /km €71,281 €72,631 £60,350",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
BYD SEALION 7 91.3 kWh AWD,https://ev-database.org/car/3072/BYD-SEALION-7-913-kWh-AWD-Excellence,440.0,502.0,208.0,91.3,165.0,4.5,1500.0,578.0,2510.0,"BYD SEALION 7 91.3 kWh AWD Excellence Available to order since December 2024 D 5 5 V2 L H G Range 440 km Efficiency 208 Wh/km Weight 2,510 kg 0-100 4.5 sec 1-Stop Range 502 km Battery 91.3 kWh Fastcharge 165 kW Towing 1,500 kg Cargo Vol. 578 L Price/range €140 /km €58,990 €58,190 £58,990",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
XPENG G9 AWD Performance (MY25) Available,https://ev-database.org/car/3279/XPENG-G9-AWD-Performance,465.0,600.0,198.0,92.2,330.0,4.2,1500.0,731.0,2470.0,"XPENG G9 AWD Performance (MY25) Available to order since August 2025 E 5 V2 L H G Range* 465 km Efficiency* 198 Wh/km Weight 2,470 kg 0-100 4.2 sec 1-Stop Range 600 km Battery 92.2 kWh Fastcharge 330 kW Towing 1,500 kg Cargo Vol. 731 L Price/range* €160 /km €72,600 €75,990 N/A",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
Volkswagen ID.3 Neo 79 kWh (MY27),https://ev-database.org/car/3522/Volkswagen-ID3-Neo-79-kWh,490.0,549.0,161.0,79.0,135.0,7.1,0.0,385.0,1966.0,"Volkswagen ID.3 Neo 79 kWh (MY27) Available to order since April 2026 C 5 V2 L H G Range* 490 km Efficiency* 161 Wh/km Weight 1,966 kg 0-100 7.1 sec 1-Stop Range 549 km Battery 79.0 kWh Fastcharge 135 kW Towing 0 kg Cargo Vol. 385 L Price/range* €93 /km €44,995 * €45,000 * £40,000",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
Volvo EX60 P12 AWD (MY27) Available,https://ev-database.org/car/3443/Volvo-EX60-P12-AWD,610.0,742.0,184.0,112.0,250.0,3.9,2400.0,575.0,2405.0,"Volvo EX60 P12 AWD (MY27) Available to order since January 2026 D 5 V2 L H G Range* 610 km Efficiency* 184 Wh/km Weight 2,405 kg 0-100 3.9 sec 1-Stop Range 742 km Battery 112.0 kWh Fastcharge 250 kW Towing 2,400 kg Cargo Vol. 575 L Price/range* €120 /km €71,990 €72,995 £64,860",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
Toyota C-HR+ 77 kWh (MY26) Available,https://ev-database.org/car/3394/Toyota-C-HRplus-77-kWh,430.0,471.0,167.0,72.0,110.0,7.3,750.0,416.0,1940.0,"Toyota C-HR+ 77 kWh (MY26) Available to order since November 2025 C 5 V2 L H G Range* 430 km Efficiency* 167 Wh/km Weight 1,940 kg 0-100 7.3 sec 1-Stop Range 471 km Battery 72.0 kWh Fastcharge 110 kW Towing 750 kg Cargo Vol. 416 L Price/range* €101 /km €45,990 €43,995 £35,495",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
Renault 5 E-Tech 52kWh 150hp Available,https://ev-database.org/car/2135/Renault-5-E-Tech-52kWh-150hp,335.0,352.0,155.0,52.0,75.0,8.0,500.0,326.0,1504.0,"Renault 5 E-Tech 52kWh 150hp Available to order since June 2024 B 5 4 V2 L H G Range 335 km Efficiency 155 Wh/km Weight 1,504 kg 0-100 8.0 sec 1-Stop Range 352 km Battery 52.0 kWh Fastcharge 75 kW Towing 500 kg Cargo Vol. 326 L Price/range €91 /km €32,900 €30,990 £23,945",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
BYD ATTO 3 Evo RWD Design,https://ev-database.org/car/3474/BYD-ATTO-3-Evo-RWD-Design,410.0,465.0,182.0,74.8,130.0,5.5,1500.0,591.0,1955.0,"BYD ATTO 3 Evo RWD Design (MY26) Available to order since April 2026 C 5 V2 L H G Range* 410 km Efficiency* 182 Wh/km Weight 1,955 kg 0-100 5.5 sec 1-Stop Range 465 km Battery 74.8 kWh Fastcharge 130 kW Towing 1,500 kg Cargo Vol. 591 L Price/range* €106 /km €44,990 €40,990 £38,990",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
Tesla Model 3 Long Range RWD,https://ev-database.org/car/3034/Tesla-Model-3-Long-Range-RWD,550.0,655.0,136.0,75.0,124.0,5.2,1000.0,682.0,1822.0,"Tesla Model 3 Long Range RWD (Highland) Discontinued (October 2024 - October 2025) D 5 5 V2 L H G Range 550 km Efficiency 136 Wh/km Weight 1,822 kg 0-100 5.2 sec 1-Stop Range 655 km Battery* 75.0 kWh Fastcharge 124 kW Towing 1,000 kg Cargo Vol. 682 L Price/range €86 /km €44,990 €45,990 £44,990",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
Tesla Model Y Premium AWD (Juniper),https://ev-database.org/car/3333/Tesla-Model-Y-Premium-AWD,475.0,556.0,166.0,79.0,125.0,4.8,1600.0,971.0,2072.0,"Tesla Model Y Premium AWD (Juniper) Available to order since October 2025 D 7 5 V2 L H G Range* 475 km Efficiency* 166 Wh/km Weight 2,072 kg 0-100 4.8 sec 1-Stop Range 556 km Battery* 79.0 kWh Fastcharge 125 kW Towing 1,600 kg Cargo Vol. 971 L Price/range* €118 /km €53,970 €53,990 £51,990",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
BYD ATTO 2 64.8 kWh Available,https://ev-database.org/car/3268/BYD-ATTO-2-648-kWh,340.0,368.0,191.0,64.8,100.0,7.9,750.0,450.0,1795.0,"BYD ATTO 2 64.8 kWh Available to order since August 2025 B 5 V2 L H G Range* 340 km Efficiency* 191 Wh/km Weight 1,795 kg 0-100 7.9 sec 1-Stop Range 368 km Battery 64.8 kWh Fastcharge 100 kW Towing 750 kg Cargo Vol. 450 L Price/range* €117 /km €41,990 €36,690 £34,975",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
Leapmotor B10 67.1 kWh Available to,https://ev-database.org/car/3233/Leapmotor-B10-671-kWh,360.0,403.0,181.0,65.0,110.0,8.0,750.0,430.0,1920.0,"Leapmotor B10 67.1 kWh Available to order since August 2025 C 5 5 V2 L H G Range* 360 km Efficiency* 181 Wh/km Weight 1,920 kg 0-100 8.0 sec 1-Stop Range 403 km Battery* 65.0 kWh Fastcharge 110 kW Towing 750 kg Cargo Vol. 430 L Price/range* €93 /km €32,400 €31,495 £31,495",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
Changan Deepal S05 RWD Available to,https://ev-database.org/car/3367/Changan-Deepal-S05-RWD,385.0,448.0,177.0,68.0,130.0,7.5,1600.0,651.0,2015.0,"Changan Deepal S05 RWD Available to order since September 2025 C 5 5 V2 L H G Range* 385 km Efficiency* 177 Wh/km Weight 2,015 kg 0-100 7.5 sec 1-Stop Range 448 km Battery* 68.0 kWh Fastcharge 130 kW Towing 1,600 kg Cargo Vol. 651 L Price/range* €105 /km €38,990 €38,990 £37,990",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
Kia EV4 Hatchback 81.4 kWh Available,https://ev-database.org/car/3124/Kia-EV4-Hatchback-814-kWh,505.0,528.0,154.0,78.0,105.0,7.7,1000.0,435.0,1896.0,"Kia EV4 Hatchback 81.4 kWh Available to order since July 2025 C 5 V2 L H G Range 505 km Efficiency 154 Wh/km Weight 1,896 kg 0-100 7.7 sec 1-Stop Range 528 km Battery* 78.0 kWh Fastcharge 105 kW Towing 1,000 kg Cargo Vol. 435 L Price/range €83 /km €43,240 €41,195 £35,495",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
Jaecoo 5 EV Available to order,https://ev-database.org/car/3336/Jaecoo-5-EV,325.0,341.0,181.0,58.9,80.0,7.7,1250.0,480.0,1765.0,"Jaecoo 5 EV Available to order since August 2025 C 5 V2 L H G Range* 325 km Efficiency* 181 Wh/km Weight 1,765 kg 0-100 7.7 sec 1-Stop Range 341 km Battery 58.9 kWh Fastcharge 80 kW Towing 1,250 kg Cargo Vol. 480 L Price/range* €96 /km N/A €30,890 £27,505",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
Tesla Model Y RWD (Juniper) Discontinued,https://ev-database.org/car/3103/Tesla-Model-Y-RWD,375.0,438.0,160.0,60.0,,5.9,1600.0,971.0,2003.0,"Tesla Model Y RWD (Juniper) Discontinued (February 2025 - December 2025) D 5 V2 L H G Range* 375 km Efficiency* 160 Wh/km Weight 2,003 kg 0-100 5.9 sec 1-Stop Range 438 km Battery* 60.0 kWh Fastcharge* 110 kW Towing 1,600 kg Cargo Vol. 971 L Price/range* €128 /km €45,970 €45,990 £44,990",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
Mercedes-Benz C 400 4MATIC Available to,https://ev-database.org/car/3551/Mercedes-Benz-C-400-4MATIC,555.0,679.0,169.0,94.0,190.0,4.0,1800.0,571.0,2460.0,"Mercedes-Benz C 400 4MATIC Available to order from June 2026* D 5 V2 L H G Range* 555 km Efficiency* 169 Wh/km Weight 2,460 kg 0-100 4.0 sec 1-Stop Range 679 km Battery 94.0 kWh Fastcharge 190 kW Towing 1,800 kg Cargo Vol. 571 L Price/range* €124 /km * €70,000 * €70,000 * £58,000",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
